"stat_sources";"lähdettä"
"help_famlist.php";"~PERHELUETTELO~<br /><br />Tällä sivulla näkyy luettelo perheistä.<br /><br />Ne on lueteltu sukunimen mukaan aakkosjärjestyksessä.<br />Näkymä riippuu: <br /><b>1.</b> Kirjaimesta, jota näpäytit <br /><b>2.</b> Näpäytitkö "Ohita" tai "Näytä" sukunimiluettelo.<br /><br /> Voit hakea sekä aviomiehen että aviovaimon sukunimen perusteella, kumpikin on luettelossa.<br /><br />Lisätietoa saat näpäyttämällä <b>?</b> kohteiden perässä."
"help_family.php";"~PERHEITÄ KOSKEVIEN YKSITYISKOTAISTEN TIETOJEN SIVU~<br /><br />Tällä sivulla näkyy aiemmalla sivulla valitsemaasi perhettä koskevat yleiset tiedot.<br />Ylhäältä alaspäin mennessä näkyy henkilötietolaatikot seuraavasti:<br />Aviomies ja hänen vanhempansa, aviovaimo ja hänen vanhempansa, ja lapset.<br /><br />Henkilötietoruutujen asettelu ja sisältö ovat samanlaiset kuin esipolvi- ja jälkipolvisivuilla.<br />Vanhempien ruudun oikealla puolella voi olla nuoli, mikäli tiedostossa on enemmän esivanhempia. Näpäyttämällä tätä nuolta, siirryt yhtä sukupolvea ylemmäksi uudelle perhesivulle, missä vanhemmat ovat nyt aviomies ja aviovaimo.<br />Oikealla puolella nimiruudun <i>sisällä</i> voi olla suurennuslasi, jota näpäyttämällä saa lisätietoa henkilöstä. Npäyttämällä nimeä, siirryt kyseisen henkilön henkilösivulle. Oikealla puolella näkyy myös pieni valikko, joka johtaa enemmän tietoa ja kaavioita sisältäville sivuille.<br /><br />Perheen ryhmätieto näyttää kaikki tiedot tästä perheestä, kuten avioliitot, multimediakohteet ja muistiinpanot. Näpäyttämällä paikkaa avautuu paikkaluettelo, missä kaikki muut paikkaan kytketyt perheet ja henkilöt näytetään. Näpäyttämällä päivämäärää avautuu päiväkalenteri, jossa näkyy tämän päivän ja kuukauden kaikki tapahtumat menneisyydessä. Myös multimediakohdetta voi näpäyttää, jolloin aukeaa kohteen näyttävä ikkuna. Näpäyttämällä lähdelinkkiä näytetn yksityiskohdat lähdesivulla.<br /><br />Lasten nimiruudun alla on linkki "Lisää lapsi perheeseen".<br />Lapsen nimiruudun vieressä on "perheen ryhmätieto".<br />Mikäli sinulla on riittävät oikeudet, voit tässä muuttaa, lisätä ja poistaa tietoja.<br /><br />Näytön oikealla reunalla on kuvakkeita ja linkkejä, joista voi tehdä seuraavaa  (mikäli se on sallittu):<br /><b>Näytä GEDCOM tietue</b> jolloin tiedot näkyvät GEDCOM-muodossa,<br /><b>Lisää leikekoriin</b>, jolloin voit tallentaa tiedon leikekoriin myöhempää omaan sukututkimusohjelmaasi latausta varten,<br /><b>Näytä pariskuntaa aikajanalla</b>, joka vie aikajanasivulle näyttäen pariskunnan kaikki tiedot aikajanalla.<br /><br />#gm_lang[more_help]#"
"help_sourcelist.php";"~LÄHDELUETTELOSIVU~<br /><br />Tällä sivulla näytetään lähdeluettelo.<br />Poiketen henkilö- ja perhesivusta tässä ei ole aakkosluetteloa ylhäällä. Tämä siksi, koska lähde voi olla henkilö, jolla on etu- ja sukunimi tai julkinen tietokanta tai laitos jne. Siksi on vaikeata löytää lajittelujärjestys. Lähteiden nimet on lajiteltu aakkosjärjestyksessä siten kun ne on tallennettu GEDCOM tiedostossa.<br /><br /><b>LÄHTEET</b><br /> Ilman lähteitä ei tietokantaa voi muodostaa, koska kaikki sinne tallennettu tieto on lähde. Lähde voi olla henkilön sukulainen, laitos, julkinen tietokanta jne.<br />Lähde voidaan linkittää useaan henkilöön. Toisaalta henkilö voi myös olla linkitetty useaan lähteeseen. Jokaiselle tapahtumalle voi olla oma lähteensä, oli sitten kysessä syntymäaika, ammatti, avioliittoon vihkiminen, lapset jne."
"help_source.php";"~LÄHTEIDEN TIEDOT SIVU~<br /><br />Tällä sivulla näytetään lähdettä koskevat yksityiskohtaiset tiedot. Lähteet ovat erittäin tärkeitä sukututkijoille ja niiden avulla voit seurata toisen tutkijan käyttämää reittiä tiedon lähteille.<br />Tällä sivulla voi olla tietoa lähteen otsikosta, kirjoittajasta, julkaisusta ja sijainnista. Koska lähteitä on useita eri tyyppejä, tiedon määrä vaihtelee lähteittäin.<br /><br />Mikäli lähteeseen on kytketty multimediakohde (kuten skannattu asiakirja), voit katsoa sitä suuremmassa ikkunassa joko näpäyttämällä kohdetta tai sen vierellä olevaa nimeä.<br /><br />Lähteen tietojen jälkeen on luettelo kaikista henkilöistä ja perheistä jotka on linkitetty tähän lähteeseen. Tämä näyttää kaiken tiedon joka on satu tietystä lähteestä.<br /><br />Tällä sivulla on vielä yksi tai kaksi valikkokuvaketta, mikäli ylläpitäjä on ne kytkenyt päälle:<br /><b>Näytä GEDCOM-tietue</b>, joka näyttä tiedon GEDCOM-muodossa.<br /><b>Lisää leikekoriin</b>, jolloin voit tallentaa tiedon leikekoriin myöhempää omaan sukututkimusohjelmaasi latausta varten.<br /><br />Lisätietoa saat näpäyttämällä <b>?</b> kohteiden perässä."
"help_placelist.php";"~PAIKKAHIERARKIA~<br />(tai henkilöt paikkaa kohti)<br /><br />Tällä sivulla näytetään luettelo paikoista ja henkilöistä tai perheistä, jotka on kytketty paikkaan.<br /><br />Mikäli henkilön tai perheen ja jonkun tapahtuman välillä on yhteyttä tietyllä paikalla, ohjelma löytää sen.<br /><br />Tulos näytetään kahdessa sarakkeessa:<br />toinen henkilöille ja toinen perheille.<br /><br />#gm_lang[more_help]#"
"help_medialist.php";"~MULTIMEDIAKOHDELUETTELO~<br /><br />Tällä sivulla luetellaan kaikki tässä GEDCOM-tiedotossa olevat multimediakohteet (MMK).<br /><br />Jokaisella kohteella on kohteen otsikko tai tiedostonimi, niiden henkilöiden tai perheiden nimet, jotka liittyvät siihen sekä kohteeseen liittyviä muita tietoja.<br /><br />Voit näpäyttää kohteen pienoiskuvaa tai nimeä tai otsikkoa, jolloin tiedoston muodosta riippuen (*.gif tai *.jpg) kuva aukeaa joko sisäiseen GM katselimeen tai selaimeesi kytkettyyn katselimeen.<br /><br />Näpäyttämällä "Katso"-linkkiä henkilön tai perheen vieressä, vie ohjelma sinut kyseiselle henkilö- tai perhesivulle."
"help_uploadmedia.php";"~LATAA MEDIATIEDOSTO PALVELIMELLE~<br /><br />Tiedoston lataaminen palvelimelle on yksinkertainen toimenpide ja tässä onkin vain vähän lisätietoa.<br /><br /><b>Pienoiskuva</b><br />Pienoiskuvan tulisi olla noin 100 pikseliä leveä.<br />Tiedostonimen tulee olla sama kuin alkuperäiskuvalla.<br /><br /><b>Lataus serverille</b><br />Tiedostot ladataan automaattisesti hakemistoon ./media ja  pienoiskuvat hakemistoon ./media/thumbs.<br /><br />#gm_lang[readme_help]#"
"help_calendar.php";"~VUOSIPÄIVÄKALENTERI~<br /><br /><ul><li><a href="#calendar_general">Yleistä</a><li><a href="#calendar_day">#gm_lang[day]#</a><li><a href="#calendar_month">#gm_lang[month]#</a><li><a href="#calendar_year">#gm_lang[year]#</a><li><a href="#calendar_show">#gm_lang[show]# / #gm_lang[showcal]#</a><li><a href="#calendar_sex">#gm_lang[sex]#</a><li><a href="#calendar_event">Tapahtuma</a><li><a href="#calendar_button">Valitse tila (painikkeet))</a><li><a href="#calendar_tip">Tip</a></ul><br /><a name="calendar_general"></a>Vuosipäiväkalenteri näyttää ne henkilöt tai perheet jotka on kytketty tiettyyn tapahtumaan tiettynä päivänä ja/tai kuukautena tai aikajaksona. Siinä on edistyksellinen suodatusjärjestelmä oikean päivämäärän,  aikajakson tai tapahtuman valitsemiseksi.<dl><dt><b>Näytä <a href="#calendar_day">päivä</a></b></dt><dd> Tämä näyttää tapahtumat tiettynä päivänä vuosiluvusta riippumatta. Se palauttaa joko yksinkertaisen luettelon henkilöiden tai perheiden nimiä tai kaksisarakkeisen luettelon, jossa henkilöt ovat toisessa ja perheet toisessa sarakkeessa. </dd><dt><b>Näytä <a href="#calendar_month">kuukausi</a></b></dt><dd><b>Kalenterissa</b> henkilöiden ja perheiden nimet näytetään päiväruuduissa. Kalenteri näytetään sellaisen kuin se oli sinä vuonna jonka syötit vuosiruutuun. Kaikki tapahtumat menneisyydestä ilmoittamaasi vuoteen saakka näytetään. Yhdessä valinnan "<a href="#calendar_show">#gm_lang[recent_events]#</a>" kanssa saadaan todenmukainen kuva siitä, millainen kalenteri oli esivanhemmillamme.</dd><dt><b>Näytä <a href="#calendar_year">vuosi</a></b></dt><dd>Tämä valinta näyttää tapahtumat tiettynä vuotena tai vuosina. Se palauttaa joko yksinkertaisen luettelon henkilöiden tai perheiden nimiä tai kaksisarakkeisen luettelon, jossa henkilöt ovat toisessa ja perheet toisessa sarakkeessa.</dd></dl>  Kalenterivalikossa näytetään nyt valittu päivä ja kuukausi korostetulla värillä.<br /><br />Luettelossa tai kalenterissa näytettävät nimet ovat näpäytettävissä.<br />Nimen näpäyttäminen vie kyseiselle henkilö- tai perhesivulle, päivämäärän näpäyttäminen vie "Tänä päivänä"-tilaan, missä näytetään kaikki näpäytetyn päivämäärän päivän ja kuukauden tapahtumat.<br /><br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_day"></a>#gm_lang[annivers_date_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_month"></a>#gm_lang[annivers_month_select_help]#<br /><br /><a href="#top">#gm_lang[UpArrow]#</a> <a name="calendar_year"></a>#gm_lang[annivers_year_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_show"> </a>#gm_lang[annivers_show_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_sex"></a>#gm_lang[annivers_sex_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_event"></a>#gm_lang[annivers_event_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_button"> </a>#gm_lang[day_month_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_tip"> </a>#gm_lang[annivers_tip_help]#"
"help_clippings.php";"~Sukupuun leikekori~<br />Leikekori mahdollistaa "leikkeiden" tallentamisen tästä sukupuusta leikekoriin ja liittämään ne yhdeksi GEDCOM-tiedostoksi omalle koneelle lataamista varten.<br /><br />* Kuinka leike tehdään?<br />Tämä on helppoa. Aina kun näet näpäytettävissä olevan nimen (henkilön, perheen tai paikan) voit mennä kyseiselle sivulle. Siellä näet vaihtoehdon "Lisää leikekoriin".<br />Näpäyttämällä sitä linkkiä avautuu sivu, jossa on monta vaihtoehtoa ladata tiedosto.<br /><br />* Kuinka ladata tiedosto koneellesi?<br />Kun sinulla on haluamasi tiedot leikekorissa näpäytä "Lataa nyt koneesta"-linkkiä.<br />Seuraa sen jälkeen ohjeita ja linkkejä."
"help_search.php";"~HAKUSIVU~<br /><br />Vaikka sivu on yksinkertaisen näköinen, sen taustalla on kaksi tehokasta hakumoottori..<br /><br />Useimmat sukututkimussivut sallivat haun vain (suku)nimen perusteella. Tällä sivustolla voit käytännössä hake mitä tahansa.<br /><br />Hakukenttä näytön vasemmalla laidalla on sama kuin otsikkoalueella.<br /><br />Mikäli etsin henkilöitä, jotka liittyvät tiettyyn vuosilukuun, kirjoita pelkästään vuosiluku. Ohjelma hakee kaikki siihen liittyvän.<br /><br />Haetko nimeä tai paikkaa?<br />Kirjoita vain nimi tai paikka tai osa siitä ja ohjelma hoitaa loput.<br /><br />SOUNDEX-menetelmä.<br />Oikealla puolella olevalla hakukentällä voit hakea henkilöiden nimiä tai paikkoja vaikka et tietäisikään niiden oikeata kirjoitusasua.<br /><br />Lisää tietoa näistä kahdesta hakukentästä saat näpäyttämällä <b>?</b> kenttien yläpuolella.<br /><br />"
"help_individual.php";"~HENKILÖSIVUT~<br /><br />Tällä sivulla näkyvät henkilöä koskevat yksityiskohtaiset tiedot.<br /><br />Mikäli käytettävissä on kuva, se näkyy ylhäällä vasemmalla.<br />Kuvan vierellä ovat henkilön nimet.<br />Nimiin voi liittyä huomautuksia ja lähteitä. Mikäli nimeen on liitetty huomautuksia tai lähteitä  ne näkyvät luettelona nimen alla. Myös henkilön lempinimi näytetään, jos sellainen on olemassa.<br /><br />Mikäli sinulla on editointioikeudet, "Editoi" ja "Poista" linkit näkyvät niiden nimien kohdalla.<br /><br />Tällä sivulla näkyvät myös välilehtilinkit "Henkilön tietoja", "Lisätietoja", "Lähteitä", "Media" ja "Lähisukulaisia". Näillä välilehdillä ovat kaikki GEDCOM-tiedostoon tallennetut tiedot.<br /><br />"Henkilön tietoja" välilehdellä ovat kaikki tiedot henkilöstä ja hänen avioliito(i)staan. Näpäyttämällä päivämäärää aukeaa kyseisen päivän vuosipäiväkalenteri, josta näkyvät tässä GEDCOM-tiedostossa olevat tapahtumat kyseisenä päivänä. Näpäyttämällä paikkaa avautuu paikkahierarkia, missä näytetään muut henkilöt, joihin liittyi tapahtumia kyseisellä paikkakunnalla. Avioliitto- ja muita perhetietoja varten näkyy puolison nimi, josta pääsee puolison tietoihin. Perhetietueeseen o myös linkki.<br /><br />"Lisätietoja"-välilehdellä on muita kyseiseen henkilöön liittyviä tietoja.<br /><br />"Lähteitä"-välilehdellä ovat kaikki kyseiseen henkilöön liittyvät yleiset lähteet. Näpäyttämällä lähdettä, avautuu yksityiskohtainen lähteeseen liittyvä sivu, jossa luetteloidaan myös muut kyseiseen lähteeseen liittyvät henkilöt.<br /><br />"Media"-välilehdellä luetteloidaan kaikki kyseiseen henkilöön liittyvät kuvat ja muu media. Näpäyttämällä pienoiskuvaa aukeaa täysikokoinen kuva.<br /><br />"Lähisukulaisia"-välilehdellä luetellaan henkilön vanhemmat ja sisarukset sekä aviopuolisot ja lapset. Henkilöt luetteloidaan samanlaisissa ruuduissa joita jo muissa kaavioissa olet ehkä nähnyt.<br /><br />Näytön oikealla laidalla on linkkiruutu.<br />Monet ruudun linkeistä ovat samat kuin valikoissa. Esimerkikisi näpäyttämällä "Esipolvikaavio"-linkkiä sivustalla olevassa linkkiruudussa avautuu kyseisen henkilön esipolvikaavio. Tämä eroaa valikkolinkistä siinä, että näpäyttämällä valikon "Esipolvikaavio"-linkkiä avautuu tämän GEDCOM-tiedoston oletusesipolvikaavio.<br /><br />Mikäli ylläpitäjä on sen mahdollistanut, näkyy linkkiruudussa myös "Näytä GEDCOM tietue". Tämä näyttää kyseisen henkilön tietueen GEDCOM-raakamuodossa.<br /><br />Mikäli ylläpitäjä on mahdollistanut leikekorin, löytyy myös linkki kyseisen henkilön GEDCOM-tietojen lisäämiseksi leikekoriin.<br /><br />"Sukulaisuus minuun" linkki näkyy vain, mikäli olet kirjautunut järjestelmään ja sinulla on ID-tunnus GEDCOM-tiedostossa. Tämä linkki vie esipolvikaavioon ja näyttää, miten olet sukua kyseiselle henkilölle.<br /><br /> Lisäohjeita löytyy näpäyttämällä <b>?</b> linkin vieressä."
"help_editconfig.php";"~KONFIGUROI Genmod~<br /><br />Tällä sivulla sinun on tehtävä ohjelman yleisasetukset heti sen jälkeen kun olet asentanut Genmod-ohjelman palvelimellesi ja käytät sitä ensimmäistä kertaa.<br />#gm_lang[review_readme]#<br /><br /> Koska nämä asetukset ovat <b>yleisasetuksia</b> ne koskevat koko ohjelmaa ja kaikkia GEDCOM-tiedostoja, joita käytät ohjelmassa.<br />Jokaiselle GEDCOM-tiedostolle voit tehdä omat asetukset.<br />Koska olet tällä asetussivulla, voit näpäyttää linkkiä ylläpidä GEDCOM-tiedostoja heti lomakkeen yläpuolella.<br />Kaikkialla ohjelmassa löydät tämän linkin  OmaGedView-ikonin valikosta."
"help_edit_merge.php";"~#gm_lang[merge_records]#~<br /><br />Tällä sivulla voit liittää toisiinsa kaksi GEDCOM-tietuetta samasta GEDCOM-tiedostosta. Tämä on hyödyllistä henkilöille, jotka ovat yhdistänet GEDCOM-tiedostoja ja joilla nyt on useita identtisiä henkilöitä, perheitä ja lähteitä.<br /><br />Sivulla on kolme vaihetta:<br /><ul><li><b>Vaiheessa 1</b> pyydetään syöttämään kaksi ID-tunnusta. Tunnusten täytyy olla samaa typpiä. (Et voi yhdistää henkilöä ja perhettä tai perhettä ja lähdettä). Kenttään "yhdistä tähän" syötä se ID-tunnus, jonka haluat olevan uuden tietueen yhdistämisen jälkeen. Kenttään "yhdistä tästä" syötetään sen tietueen ID, joka on tarkoitus yhdistää ja joka poistetaan tämän jälkeen.</li><li><b>Vaiheessa 2</b> pyydetään valitsemaan ne tiedot, jotka halutaan säilyttää yhdistettävistä tietueista. Näpäytä säilytettävien asioiden vieressä olevia valintaruutuja. </li><li><b>Vaiheessa 3</b> näytetään yhdistämisen tulos. Kuten kaikissa muissakin on-line muutoksissa muutoksen on hyväksyttävä ennen kuin ne astuvat voimaan.</li></ul><br />"
"help_reportengine.php";"~RAPORIT~<br /><br />GM:n raporttimoottori käyttää XML mallipohjia luomaan automaattisesti PDF-raportteja. Ensimmäisenä vaiheena on valittava raporttityyppi. Käytettävissä olevat raporttimallit luodaan "reports"-hakemistossa olevien raporttien perusteella. Kun olet valinnut raporttimallin, sinun on annettava tälle raportille spesifiset tiedot mistä henkilöstä tai perheestä lähdetään liikkeelle ja näytetäänkö valokuvat. Kun olet valmis ajamaan raportin, näpäytä painiketta "#gm_lang[download_report]#" ladataksesi raportin kovalevyllesi.<br /><br />Voit luoda oman raporttimallin kopioimalla olemassa olevan mallipohjan ja tekemällä muutokset sen XML-koodiin. Lisätäksesi oman raportti, kopioi se "reports"-kansioon ja GM havaitsee sen automaattisesti ja lisää sen "Valitse raportti" alasvetovalikkoon."
"help_ahnentafel.xml";"~#gm_lang[ahnentafel_report]#~<br />Tämä on raportti valitusta henkilöstä ja hänen esivanhemmistaan tulostettuna vihkosen muotoon. Se alkaa ensimmäisestä henkilöstä ja jatkuu hänen vanhempiinsa, isovanhempiinsa jne. <br /><br />Huomaa, että ahnentafelraportti on saatavissa vain englanniksi tällä hetkellä.<br /><br />"
"help_birthlist.xml";"~#gm_lang[birth_report]#~<br />Tässä raportissa voit luetella kaikki henkilöt, jotka ovat syntyneet tiettynä aikana tai tietyssä paikassa.<br /><br />"
"help_relativelist.xml";"~#gm_lang[relatives_report]#~<br />Tämä raportti luetteloi kaikki tietyn henkilön sukulaiset. Voit valita mitkä henkilön sukulaisista näytetään raportissa.<ul><li><b>#gm_lang[child-family]#</b> näyttää henkilön sekä hänen vanhempansa ja sisaruksensa.</li><li><b>#gm_lang[spouse-family]#</b> näyttää henkilön sekä hänen puolisonsa ja lapsensa.</li><li><b>#gm_lang[direct-ancestors]#</b> näyttää henkilön, hänen vanhempansa, isovanhempansa, isoisovanhempansa jatkuen sukupuuta ylöspäin suoraan ylenevässä polvessa.</li><li><b>#gm_lang[ancestors]#</b>näyttää samat kuin </li><li><b>#gm_lang[ancestors]#</b> ja lisäksi sedät, tädit, isosedät ja -tädit sekä serkut. Serkusten lapsia ei näytetä.</li><li><b>#gm_lang[descendants]#</b> näyttää henkilön ja kaikki suoraan alenevassa polvessa olevat lapset, lapsenlapset, lapsenlapsenlapset jne.</li><li><b>#gm_lang[all]#</b> yhdistää #gm_lang[descendants]# ja #gm_lang[ancestors]# yhteen raporttiin.</li></ul><br /><br />"
"help_xml_reports";"~Raporttimoottori~Genmod raporttimoottori käyttää XML-mallitiedostoja luomaan PDF-raportteja. Käytettävissä olevat raportit <b>#gm_lang[select_report]#</b>-luettelossa muodostetaan raportti- XML-tiedostoista, jotka ovat "report"-hakemistossa. Voit laatia omia raportteja kopioimalla ja muokkaamalla mitä tahansa olemassa olevaa XML-mallitiedostoa. Tallenna muokkaamasi raportti "reports"-hakemistoon ja Genmod havaitsee sen automaattisesti ja asettaa sen käytettäväksi <b>#gm_lang[select_report]#</b> alasvetovalikossa.<br /><br />"
"help_contents_gedcom_info";"GEDCOM tieto"
"help_contents_gedcom_places";"Paikat GEDCOM-tiedostossa"
"help_repolist.php";"~TIETOVARASTOLUETTELOSIVU~<br /><br /> Tällä sivulla näytetään luettelo tietovarastoista. <br />Tietovarastot ovat nimen mukaan järjestetty aakkosjärjestykseen kuten GEDCOM-tiedostossa.<br /><br /><b>TIETOVARASTOT</b><br />Ilman tietovarastoja ei tietokantaamme voi muodostaa. Kaikelle tietokannassa olevalle tiedolle on olemassa lähde ja tämä lähde pidetään tietovarastossa. Se voi olla henkilön henkilökohtainen arkisto, laitos, julkinen tietokanta, jne. Jotta pääsisimme käsiksi lähteeseen haluamme tietää missä se sijaitsee. Kaikki tarpeellinen tieto lähteen saavuttamiseksi pidetään tietovarastotietueessa. <br />Tietovarasto voidaan linkittää moneen lähteeseen."
"help_repo.php";"~YKSITYISKOHTAISIA TIETOJA TIETOVARASTOSTA~<br /><br />Tällä sivulla näytetään yksityiskohtaisia tietoja tietovarastosta. Yhdessä lähteiden kanssa tietovarastot ovat sukututkijalle hyvin tärkeitä ja mahdollistavat toisen tutkijan käyttämiä reittejä tiedon löytämiseksi. <br />Tällä sivulla voidaan näyttää tietovaraston nimi, osoite,, sähköpostiosoite ja verkkosivun osoite.<br /><br />Tietovarastoa koskevien tietojen jälkeen on luettelo kaikista niistä lähteistä jotka on linkitetty tähän tietovarastoon. Tällä tavoin voidaan nähdä kaikki tieto joka on saatu tietystä tietovarastosta.<br /><br />Mikäli ylläpitäjä on asettanut käytettäväksi, sivulla näkyy yksi tai kaksi muuta valikkokuvaketta:<br /><b>Näytä GEDCOM-tietue</b> - näyttää tiedon GEDCOM-muodossa.<br /><b>Lisää leikekoriin</b> - tämä tieto voidaan tallentaa leikekoriin. Sieltä voit ladata tiedon omalle koneellesi ja tuoda sen omaan sukututkimusohjelmaasi.<br /><br />Lisäohjeita sivulta löytyy näpäyttämällä <b>?</b>"
"block_default_index";"~Oletusalueet #gm_lang[welcome]#-sivulla#<br /><br />Kun tyhjennät luettelot #gm_lang[main_section]# and #gm_lang[right_section]#, tai kun näpäytät <b>#gm_lang[reset_default_blocks]#</b>-painiketta, alue asettuu seuraavasti:<br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[gedcom_stats_block]#<br />#gm_lang[gedcom_news_block]#<br />#gm_lang[gedcom_favorites_block]#<br />#gm_lang[review_changes_block]#</td><td>#gm_lang[gedcom_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[todays_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"block_default_portal";"~Oletusalueet #gm_lang[mygedview]#-sivulla~<br /><br />Kun tyhjennät luettelot #gm_lang[main_section]# ja #gm_lang[right_section]#, tai näpäytät <b>#gm_lang[reset_default_blocks]#</b>-painiketta, alue asettuu seuraavasti: <br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[todays_events_block]#<br />#gm_lang[user_messages_block]#<br />#gm_lang[user_favorites_block]#<br />&nbsp;</td><td>#gm_lang[welcome_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[upcoming_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"help_faq.php";"~Yleisimmät kysymykset~<br />FAQ (Yleisimmät kysymykset) -sivu voi sisältää yleiskatsauksen tai luettelon kysymyksistä ja vastauksista tämän sukututkimussivuston käytöstä.<br /><br />FAQ-sivun käyttö on täysin ylläpitäjän hallinnassa. Ylläptäjä valvoo jokaisen asian sisältöä ja myös asioiden esitysjärjestystä sivulla.<br />"
"hs_intro";"Voit tehdä hakuja Genmod:n ohjejärjestelmästä. #gm_lang[hs_title]#-ominaisuus tekee mahdolliseksi sen, että hakufunktioita voidaan kontrolloida monipuolisesti. Haun pitäisi onnistua helposti.  "
"hs_keyword_advice";"~#gm_lang[hs_keyword]#~<br />Lisää sana tai ilmaisu, jonka haluat löytää.<br /><br />Haku ei erottele pieniä ja suuria kirjaimia. Se merkitsee, että jos haet sanaa <b>Henkilö</b>, hakutulokseksi voi tulla <b>Henkilö</b>, <b>henkilö</b> tai <b>HENKILÖ</b>. Haku antaa myös tulokseksi <b>Henkilöt</b> jne., koska haku etsii merkkijonoja eikä sanoja.<br /><br />Voit hakea useita sanoja kerrallaan. Kirjoita kaikki haettavat sanat peräkkäin välilyönnillä erotettuna kuten esimerkiksi <b>henkilö&nbsp;suku&nbsp;lapsi</b>. Kun kirjoitat enemmän kuin yhden sanan, kirjoittamasi asioiden merkitys selkeytyy #gm_lang[hs_searchhow]#-kentässä.< /br>"
"hs_searchin_advice";"~#gm_lang[hs_searchin]#~<br />Tässä valitset haun kohteen.<br /><br />Ylläpitäjä voi tehdä hakuja käyttäjän ohjeesta tai konfiguraatio-ohjeesta tai kummastakin. Tavallisilla käyttäjillä ei ole tätä mahdollisuutta, koska heillä ei ole pääsyä konfigurointiominaisuuksiin. Tavallinen käyttäjä voi kohdistaa haun vain käytäjäohjetiedostoon.<br /><br />Ohjetiedostot sisältävät ohjetekstin lisäksi tiettyjä merkkijonoja joita käytetään luomaan lomakkeita ja muuta aineistoa. Tällä vaihtoehdolla voit valita kohdistetaanko haku koko ohjetiedostoon vai ainoastaan ohjetekstiin.<br />"
"hs_searchhow_advice";"~#gm_lang[hs_searchhow]#~<br />Selvennät sitä mitä olet tarkoittanut #gm_lang[hs_keyword]#-kentässä tekemällä valinnan tässä esitetyistä vaihtoedoista.<br /><dl><dt><b>#gm_lang[hs_searchany]#</b></dt><dd>Mikäli olet kirjoittanut <b>henkilö&nbsp;perhe&nbsp;lapsi</b>, tämä vaihtoehto hakee  ohjeen, joka sisältää minkä tahansa näistä sanoista. Sanojen järjestyksellä ei ole merkitystä. Haku tapahtuu periaatteella "Hae tekstiä, joka sisältää sanan <b>henkilö</b> <u>tai</u> <b>perhe</b> <u>tai</u> <b>lapsi</b>".</dd><br /><dt><b>#gm_lang[hs_searchall]#</b></dt><dd>Mikäli olet kirjoittanut <b>henkilö&nbsp;perhe&nbsp;lapsi</b>, tämä vaihtoehto hakee  ohjeen, joka sisältää kaikki nämä sanat.Sanojen järjestyksellä ei ole merkitystä. Haku tapahtuu periaatteella "Hae tekstiä, joka sisältää sanan <b>henkilö</b> <u>ja</u> <b>perhe</b> <u>ja</u> <b>lapsi</b>."</dd><br /><dt><b>#gm_lang[hs_searchsentence]#</b></dt><dd>Mikäli olet kirjoittanut   <b>henkilö&nbsp;perhe&nbsp;lapsi</b>, tämä vaihtoehto hakee  ohjeen, joka sisältää kaikki nämä sanat tässä järjestyksessä. Haku tapahtuu periaatteella "Hae tekstiä, joka sisältää sanat<b>henkilö&nbsp;perhe&nbsp;lapsi</b> juuri tässä järjestyksessä ilman mitään muita merkkejä tai sanoja niiden välissä." Et todennäköisesti löydä tällaista tekstiä mistään ohjetekstistä.<br /><br />Joitakin rajoituksia: Tietyt erikoismerkit, kuten <b>&quot; < ></b> jne. ovat ohjetekstissä symbolimuodossa eivätkä löydy, jos ne ovat hakusanojesi joukossa. Jotkut ohjetekstit sisältävät tietynlaisia välilyöntejä, joita edustavat <b>&nbsp;</b> etkä löydä merkkijonoja, jotka sisältävät tämän merkin.</dd></dl>"
"SHOW_SOURCES";"Näytä lähteet?"
"can_admin";"Käyttäjä voi ylläpitä"
"can_edit";"Käyttäjä voi muokata"
"add_user";"Lisää uusi käyttäjä"
"current_users";"Nykyinen käyttäjälista"
"leave_blank";"Jätä salasana tyhjäksi jos et halua muuttaa sitä."
"show_phpinfo";"Näytä PHPInfosivu"
"messaging2";"Sisäiset viestit ja sähköposti"
"messaging3";"Genmod lähettää sähköposteja ilman säilytystä"
"no_messaging";"Ei mitään yhteystapaa"
"privileges";"Etuoikeudet"
"date_registered";"Rekisteröintipäivä"
"last_login";"Viimeksi kirjautunut"
"enable_disable_lang";"Configure supported languages"
